review,aspects,opinions,aspect_categories,length
很好物流快苏宁买手机很放心而且价位也不高,"物流,苏宁,买手机,价位",,服务,20
买给家人的手机反应手机质量很好续航一天没问题拍照很清楚苏宁的产品品质很好售后服务也让人放心,"家人,手机,手机,质量,续航,问题,苏宁,产品品质",清楚,续航,45
买的星光配色拿挺快的机身轻薄质感也好运行挺畅快拍照也清晰各方面体验都还可以,"星光,配色,机身,质感,方面,体验","轻薄,畅快,清晰",外观,37
很好很不错新手机拍着也清楚像素特别高手机也好看物流也很快苏宁真不错官方正品发货也快下次还在苏宁买真棒,"像素,手机,物流,苏宁,官方,正品,发货,苏宁,真棒","不错,清楚","服务,拍照",50
老婆买的非常喜欢物流非常快第2天就到了手机非常给力系统非常流畅,"老婆,物流,手机,力,系统",流畅,"服务,系统",31
拍照效果拍照效果很好很清晰,"效果,效果",清晰,其他,13
电池续航电池续航时间长能用一天,"电池,续航,电池,续航,时间",,续航,15
显示效果显示色彩饱和度高,"效果,色彩,饱和度",,屏幕,12
运行速度很快反应灵敏,"速度,灵敏",,性能,10
机器运行流畅摄像很清晰电池续航也很给力屏幕显示超级棒发货速度快还会再次购买,"机器运行,电池,续航,力,屏幕显示,发货,速度","流畅,清晰","性能,续航,屏幕,服务",37
手机了好用价格实惠拍照好看续航一天一充物流很快满意,"手机,价格,续航,物流",,"价格,续航,服务",25
苹果手机就是香系统一流操作流畅苏宁易购大赞王者归来,"苹果,手机,香,系统,一流,苏宁,王者",流畅,系统,25
机器漂亮颜色很喜欢运行流畅反应速度快摄像也很清晰发货超级快东西包装给力非常喜欢给力,"机器,颜色,发货,东西,力,力","漂亮,流畅,清晰","外观,服务",41
外形外观iPhone14手感质感很好而且不厚手握拿起来比较舒服屏幕音效屏幕效果展示比较好无瑕疵运行速度运行速度还是比较流畅的无明显卡顿待机时间待机时问较长后续使用观察,"外形,外观,手感,质感,屏幕,音效,屏幕,效果,瑕疵,速度,速度,待机时间,待机,时问","不厚,舒服,流畅,明显","外观,续航,屏幕,性能",83
拍照效果拍照很清晰,效果,清晰,其他,9
运行速度运行速度很快反应很快,"速度,速度",,性能,14
显示效果屏幕清晰,"效果,屏幕",清晰,屏幕,8
拍照效果拍照清晰,效果,清晰,其他,8
电池续航待机时间长,"电池,续航,待机时间",,续航,9
颜值高速度又快用手机还得是苹果,"颜值,高速度,手机,苹果",,"外观,性能",15
1宝贝收到啦挺好用的不卡感觉挺喜欢的下次推荐朋友也来买各种功能不卡2手机速度嗖嗖的派送速度也不错整体比较满意呢背面是真的好看呀呀呀3拿回来用了性能不错电池耐用声音挺大音质不错店家态度很好很满意好评4这个店老用户了服务一如既往的好物流速度给力特别感谢客服樱桃耐心的导购,"宝贝,不卡,感觉,朋友,功能,不卡,手机,速度,速度,整体,性能,电池,声音,音质,店家,态度,店,用户,物流,速度,力,客服,樱桃","挺好用,不错,不错,耐用,不错,耐心","性能,续航,服务",133
用了2天特来评价流畅程度完美续航也还可以对我不打游戏功能很合适了,"评价,程度,续航,功能","流畅,完美,合适",续航,32
手机到货速度很快拿感觉手感很不错喜欢这个手机很久了这次终于下定决心买了很喜欢,"手机,速度,感觉,手感,手机",不错,性能,38
一直相信苏宁价格实惠这次又买到了喜欢,"苏宁,价格",,价格,18
好看好看颜色嘎嘎猛用起来也是好用喜欢继续使用,颜色,,外观,22
宝贝质量不错很喜欢特意用了两天才来评价手机流畅质量很好完美品相没有瑕疵好评,"宝贝,质量,评价,手机,质量,品相,瑕疵","不错,流畅,完美",其他,37
全新未激活13香14也香拍照可给力响应快,"香,力",,其他,20
iPhone14颜值还是抗打,颜值,,外观,14
拍照效果照片清晰,"效果,照片",清晰,拍照,8
给媳妇买的生日紫色好看拍照也不错运行流畅赶上宁波券活动价格实惠,"媳妇,紫色,宁波,券,价格","不错,流畅",价格,31
趁着做活动给媳妇买了一台紫色的iPhone14价格很实惠性价比真的很高IOS系统就是流畅反应很快拍照效果很好屏幕显示清晰细腻电池也很给力苏宁自营值得信赖正品有保障,"媳妇,紫色,价格,性价比,系统,效果,屏幕显示,电池,力,苏宁,信赖,正品","流畅,清晰,细腻","价格,续航,屏幕,系统",81
电池续航刚拿到续航感觉还可以,"电池,续航,续航,感觉",,续航,14
拍照效果挺不错的,效果,,其他,8
显示效果屏幕很清晰,"效果,屏幕",清晰,屏幕,9
手机颜色好看苹果机一直运行速度非常好价格合理,"手机,颜色,苹果机,速度,价格合理",,"外观,性能,价格",22
大爱终于碰到活动抢到优惠券果断没想到发货那么快查了是全新未拆封未激活的上手感觉很好期待用后效果很好,"优惠券,发货,感觉,效果",,"价格,服务",49
拍照清晰运行快续航还行,续航,清晰,续航,11
新手机非常好用配了一个蓝色的手机壳,"蓝色,手机,壳",,其他,17
价格很实惠继续支持苏宁,"价格,苏宁",,价格,11
苏宁太给力了价格很优惠物流也很快手机是送给亲戚家孩子的太棒了,"苏宁,价格,物流,手机,亲戚家,孩子,太棒了",,"价格,服务",30
正品国行机器价格很给力的手感无敌很轻速度很快,"正品,机器,价格,力,手感,速度",,"价格,性能",22
手机运行速度很快活动力度很大非常划算好用拍照清晰运行速度很快,"手机,速度,力度,速度","很大,清晰",性能,30
手机到货很快颜色也很喜欢手机速度很快拍照反应也很快,"手机,颜色,手机,速度",,"外观,性能",25
256的才刚刚好够用手机真的好用很流畅之前买的128不够用了还是换同款,"手机,同款",流畅,其他,35
包装非常好运行速度快,速度,,性能,10
拍照效果好运行速度快,"效果,速度",,性能,10
一直习惯用ios系统苏宁818活动有大额优惠卷是一个很好的选择下手拥有它各方面都满意,"习惯,系统,苏宁,大额,优惠卷,方面",很好,"价格,系统",42
上一台是11这回换了14256g终于鸟枪换炮了好好体验一番,"鸟枪换炮,体验",,其他,29
包装很好14嘛懂的都懂应该挺不错的,,,其他,17
苏宁活动抢券买的价格便宜了好几百手机是正品满意赞,"苏宁,价格便宜,手机,正品",,价格,24
全套苹果手表电脑下次再买个电视,"苹果,手表,电脑,电视",,其他,15
苹果的设计非常精致使用苹果的产品我感觉非常流畅不会出现卡盾和死机的情况屏幕非常出色色彩艳丽清晰度高让人感觉很舒适感谢苏宁,"苹果,苹果,产品,感觉,卡盾,死机,情况,屏幕,清晰度,感觉,苏宁","精致,流畅,舒适","拍照,屏幕",60
电池续航可以,"电池,续航",,续航,6
拍照效果不错,效果,不错,其他,6
显示效果屏幕非常清晰,"效果,屏幕",清晰,屏幕,10
运行速度非常快,速度,,性能,7
正品国行未激活用起来很舒服一如既往的好,正品,舒服,其他,19
物流给力上门服务周到国行正品无拆封无激活苏宁大平台购物质量和售后有保障等用几天再追评,"物流,力,上门,正品,苏宁,平台,购物,质量,售后",激活,服务,42
东西没问题发货挺快的,"东西,问题,发货",,服务,10
手机很完美不错好用,手机,"完美,不错",其他,9
拿到了就迫不及待立马打开苹果真的太喜欢了很好用,"立马,苹果",,其他,23
挺好用的手机功能很好用,"手机,功能",挺好用,其他,11
好用颜值高速度又快太棒了,"颜值,高速度,太棒了",,"外观,性能",12
苏宁买的手机性价比高支持苏宁,"苏宁,手机,性价比,苏宁",,价格,14
手机不错以后买东西就到苏宁,"手机,东西,苏宁",不错,其他,13
手机全新的后隔天发货的价钱也还可以,"手机,后,发货,价钱",,服务,17
活动购买的挺好用的苏宁买东西有保障,"苏宁,东西",挺好用,其他,17
电池续航一天一充,"电池,续航",,续航,8
拍照效果拍照很清晰色差非常小,"效果,色差",清晰,其他,14
显示效果显示很饱满,效果,,其他,9
运行速度速度快一点都不卡顿,"速度,速度",,性能,13
买给老婆的很喜欢紫色很飒总之喜欢就是了,"老婆,紫色",,其他,19
不错送给老婆的套上给他买的心爱的小熊熊手机壳马上就用上了14的大小刚刚好女生的手比较买iPhone14没有必要买14plus或者14proMax,"老婆,套上,心爱,小,熊熊,手机,壳,女生,手",不错,其他,72
用起来很棒感谢苏宁易购拍照效果好屏幕显示效果好,"苏宁,效果,屏幕显示,效果",很棒,屏幕,23
苹果14用起来太流畅了价钱也合适感谢苏宁易购感谢,"苹果,价钱,苏宁","流畅,合适",其他,24
赶上618一个末班车苏宁还是给力发货速度很快14现在这个价格应该是最有性价比的手机了不错不错,"末班车,苏宁,力,发货,速度,价格,性价比,手机","不错,不错","服务,性能,价格",46
紫色好看流畅性也好,紫色,,其他,9
挺好的对象很喜欢,对象,,其他,8
真心不错苏宁易购还是一个挺靠谱平台的,"苏宁,平台",不错,其他,18
电池续航待机时间还可以,"电池,续航,待机时间",,续航,11
显示效果显示像素非常高,"效果,像素",,拍照,11
挺好的用起来很丝滑好用,用,滑好,其他,11
电池续航电池续航够用挺给力的,"电池,续航,电池,续航,力",,续航,14
拍照效果清晰比安卓要好太多啦,"效果,比安卓",清晰,其他,14
显示效果显示没得说打游戏看视频都非常棒,"效果,视频",,其他,19
趁活动买一台给家人换台手机一直在苏宁购物正品有保障很放心家人很满意继续光顾,"家人,手机,苏宁,购物,正品,家人",,其他,37
苏宁易购价格优惠活动多是正品,"苏宁,价格,正品",,价格,14
显示效果色差很好看玻璃也不错,"效果,色差,玻璃",不错,其他,14
拍照效果拍出的效果太清晰呢相机摄像头高端,"效果,效果,摄像头,高端",清晰,拍照,20
手机外形不大不小很合适给老婆买的老婆很满意屏幕显示很细腻音效跟安卓的差不多日常够用拍照效果就值得说了很清晰老婆很喜欢运行速度也很好没有出现卡顿现象待机时间普通一天充电速度跟国产手机没得比天冷了得两个小时天不冷一个半小时其他目前正常天冷给它买个暖手宝充电还是可以的,"手机,外形,老婆,老婆,屏幕显示,音效,安卓,效果,老婆,速度,现象,待机时间,速度,国产手机,小时,小时,天冷,暖手,宝","合适,细腻,清晰","外观,续航,屏幕,性能",131
次在苏宁买手机买的价格实惠性价比很高非常不错苏宁发的顺丰次很不错,"苏宁,买手机,价格,性价比,苏宁","不错,不错",价格,32
电池续航电池用了一个晚上正常使用完全足够,"电池,续航,电池",完全,续航,20
显示效果显示清晰太赞了,效果,清晰,其他,11
运行速度运行速度很快,"速度,速度",,性能,10
真是太想了苏宁的正品苹果太香了,"真是太,苏宁,正品,苹果",,其他,15
一直一罐用苹果系统苹果手机用了好多年了这款14一如既往的给我惊喜,"苹果,系统,苹果,手机",惊喜,系统,32
是真品主要是结果实惠消费券买的孩子开心的不得了,"真品,结果,孩子",,其他,23
到货还是很快的当天就用了目前也没什么问题,问题,,其他,20
手机很好用非常好速度很快,"手机,速度",,性能,12
手机刚拿就拆开了不愧是苹果14速度真的很快滑动非常流畅这次买对了,"手机,苹果,速度","不愧,流畅",性能,32
活动买的某东不给还是苏宁实惠能领到优惠券就给买多多支持苏宁,"苏宁,优惠券,苏宁",,价格,29
买过来送给朋友的东西很好拿就拆开了没有什么问题是全新国行正品手机也很好没有什么瑕疵是很满意的一次购物体验苏宁自营确实靠谱会多多继续支持苏宁的感谢苏宁的活动开心的一天,"朋友,东西,问题,正品,手机,瑕疵,购物,体验,苏宁,苏宁,苏宁",确实,其他,82
送别人的包装到位到货速度快原封未激活价格也实惠,"速度,原封,价格",,"性能,价格",23
运行速度非常好满意十分流畅,速度,流畅,性能,13
苹果手机一点都不卡顿真好用,"苹果,手机",,其他,13
电池续航待机可以新机感觉续航也久一点,"电池,续航,待机,新机,感觉,续航",,续航,18
拍照效果拍照一直用苹果不过14屏幕小了一点,"效果,苹果,屏幕",,屏幕,21
显示效果屏幕显示清晰比上一代好很多,"效果,屏幕显示",清晰,屏幕,17
运行速度嘎嘎快,速度,,性能,7
手机挺好的查了是正品比便宜了几百块很开心,"手机,正品",便宜,其他,20
手机挺好的查了是正品价格比店里便宜好几百,"手机,正品,价格比,店里",便宜,价格,20
太值了优惠价拿下发货也很快官方正品手机用起来很不错一天一充续航很强运行速度很快特别丝滑还是苹果耐用系统没有广告拍照很清晰很满意,"太值,优惠价,发货,官方,正品,手机,续航,速度,丝滑,苹果,系统,广告","不错,耐用,清晰","性能,价格,续航,服务,系统",63
手机拍照好运行流畅打王者很舒服,"手机,王者","流畅,舒服",其他,15
买来送人的苏宁苹果直接没得说一直都是在这里购买,"苏宁,苹果",直接,其他,23
活动很划算买了一套装备不错不错用起来很顺滑哈哈,装备,"不错,不错",其他,23
东西挺好物流也挺快的不错,"东西,物流",不错,服务,12
又给家里人换手机了一直苏宁买的价格实惠还正品,"手机,苏宁,价格,正品",,价格,22
很久以前就收到快递了但是系统一直显示待收货不能评价不知道为什么不过手机是相当不错漂亮手感丝滑功能强大,"系统,收货,评价,手机,手感,丝滑","不错,漂亮",系统,50
买给家人用的苏宁搞活动价格实惠直接入手了,"家人,苏宁,价格",直接,价格,20
连续买了两个人手一部苹果太好用了很有质感,"人手,苹果,质感",连续,其他,20
苏宁易购发货真心快而且宝贝保护的非常好就像刚出厂的一样所以说买购物还是得苏宁靠谱特别是电器和数码产品苏宁易购太棒啦,"苏宁,发货,宝贝,出厂,购物,苏宁,电器,数码产品,苏宁,太棒",,服务,57
手机非常不错运行速度特别快非常喜欢赞赞赞,"手机,速度",不错,性能,20
全新正品行货没拆封没激活安全下车可以放心购买手机很不错运行流畅拍照还行充电一般其他都没问题,"正品,行货,手机,问题","激活,安全,不错,流畅,一般",其他,45
搞活动买的价格很美丽关注了很久终于下手了拿很喜欢快递也特别的快期待使用后的效果,"价格,美丽,效果",,价格,39
苏宁自营买东西还是比较靠谱的已经买三台苹果机了主要觉得价格合适果断下手星光色真好看上门很方便哦,"苏宁,东西,靠谱,苹果机,价格,星光,上门","合适,方便",价格,47
把自己的13128的换成14的256买手机还是256发货也快快递包装也整洁手机没有一点瑕疵黑色高大尚,"买手机,发货,手机,瑕疵,黑色","整洁,高大",服务,50
拍照效果效果很好,"效果,效果",,其他,8
显示效果细腻完美,效果,"细腻,完美",其他,8
全新未拆封未激活包装打包很好自己用做备用机很划算物流也特别快好评,"备用机,物流",,服务,32
手机壳收到了质量很好做工精细款式新颖时尚非常喜欢,"手机,壳,质量,款式,时尚","精细,新颖",其他,24
显示效果色彩饱满显示完美,"效果,色彩",完美,屏幕,12
拍照效果拍照细节清晰总得来说非常给力,"效果,细节,力",清晰,其他,18
手机很好发货也很快是正品未激活,"手机,发货,正品",,服务,15
过年期间买的刚收到的天直接开箱激活苹果手机使用起来就是很流畅操作系统也很厉害拿在手上手感也非常的不错非常感谢苏宁的活动能够以非常实惠的价格买到点赞,"天,开箱,苹果,手机,手感,苏宁,价格","直接,激活,流畅,厉害,不错",价格,73
啊啊啊啊一咯一咯一咯一咯一咯一咯,啊啊啊,,其他,16
电池续航苹果续航能力强外观设计完美,"电池,续航,苹果,续航,能力,外观设计",完美,"续航,外观",17
收到宝贝真心不错性价比很高经济实惠快递的速度也是给力收到之后打开看各种东西放的非常齐全包装完整找到一家品质一流的商家真的是不容易给你五星好评,"宝贝,性价比,经济,速度,力,东西,齐全,品质,一流,商家","不错,完整,容易","价格,性能",70
这手机买来给老婆用希望会喜欢,"手机,老婆",,其他,14
电池续航手机正常使用抖音电话可以用一天,"电池,续航,手机,音,电话",,续航,19
拍照效果拍照色彩真实,"效果,色彩",,屏幕,10
显示效果屏幕显示清晰手机是原封正品未激活的价格很美丽还会继续购买的,"效果,屏幕显示,手机,原封,正品,价格,美丽",清晰,"价格,屏幕",33
非常喜欢这个手机值得拥有,手机,,其他,12
之前买的一个不错又买一个给家里人用,,不错,其他,17
苹果手机很好用出了新版还要买,"苹果,手机",,其他,14
电池续航这代苹果14电池续航大大提升中度使用基本可以一天一充加之A15仿生芯片加持能耗更低,"电池,续航,代,苹果,电池,续航,中度,基本,芯片,能耗",,"续航,性能",45
拍照效果1200万像素摄像头低光捕获提高了49夜间模式曝光速度提升2倍新增运动防抖模式动态拍摄也更加稳定,"效果,像素,摄像头,光,模式,速度,模式,动态",稳定,"性能,拍照",52
显示效果超视网膜XDR显示屏显示效果更加无敌原彩显示一如既往的优秀,"效果,视网膜,显示屏,效果,原彩",优秀,屏幕,33
运行速度运行速度非常快你可以永远相信苹果的系统,"速度,速度,苹果,系统",,"性能,系统",23
感谢苏宁易购带来这么好的产品,"苏宁,产品",,其他,14
电池续航够用,"电池,续航",,续航,6
拍照效果清晰,效果,清晰,其他,6
运行速度流畅,速度,流畅,性能,6
显示效果清晰可见,效果,,其他,8
电池续航待机时间长正常使用一天没问题,"电池,续航,待机时间,问题",,续航,18
拍照效果拍照画面清晰,"效果,画面",清晰,其他,10
显示效果屏幕色彩绚丽,"效果,屏幕,色彩",绚丽,屏幕,10
手机是原封正品未激活的价格美丽还会继续购买的,"手机,原封,正品,价格,美丽",,价格,22
真的太喜欢这个颜色了非常好看紫色软乎乎的拿在手里爱不释手真的我超爱的高颜值高品质非常好一分钱一分货材质外观和质量一看就很上档次非常喜欢,"颜色,紫色,颜值,高品质,一分钱,一分货,材质,外观,质量",,外观,67
电池续航还好信号一般般啦拍照效果很真实敢用原相机自拍的姐应该不多哈哈显示效果好运行速度快不打游戏速度快,"电池,续航,信号,效果,敢用,原,姐,效果,速度,速度",,"续航,性能",51
很满意的可以的质量很好的,质量,很好,其他,12
手机发货挺快武汉发的货2022年生产的帮别人买的别人也不介意用着挺好的吧价格比实体店便宜苏宁值得信赖,"手机,发货,武汉,货,帮别人,价格比,实体店,苏宁,信赖","挺好,便宜","服务,价格",50
刚好618活动便宜给老妈换一个手机苏宁手机自营放心购买都原封的全家都苏宁买发货速度也快的,"老妈,手机,苏宁,手机,原封,全家,苏宁,发货,速度",便宜,"服务,性能",44
电池续航续航时间长,"电池,续航,续航,时间",,续航,9
显示效果流畅清晰色彩好,"效果,色彩","流畅,清晰",屏幕,11
运行速度很好,速度,,性能,6
拿的时候拆开包装盒的那一刻惊艳到我了整体设计不错除了信号不太好运行流畅像素也不错,"时候,包装盒,整体,信号,像素","惊艳,不错,流畅,不错","服务,拍照",40
仿佛他吞吞吐吐吞吞吐吐,,,其他,11
高考结束给儿子一个惊喜苹果手机肯定没话说啦希望会喜欢,"儿子,苹果,手机",惊喜,其他,26
苹果14好用长得漂亮用着不卡完美感谢苏宁易购,"苹果,不卡,苏宁","漂亮,完美",其他,22
犹豫了很久最终选择了苹果14性价比超高的一款手机使用了几天没有卡顿活系统流畅真好,"苹果,性价比,手机,系统","犹豫,流畅","价格,系统",40
红红火火爱不释手苹果就是好用送老婆的,"苹果,老婆",,其他,18
拍照效果好,效果,,其他,5
显示效果好,效果,,其他,5
运行速度好,速度,,性能,5
终于用上苹果了用了几天各方面都不错就是价格高了,"苹果,方面,价格",不错,价格,23
简直是智能手机中的一匹黑马我用过很多手机但是这个真的让我眼前一亮首先它的屏幕展示效果非常出色色彩细腻观看影视剧简直享受其次它的性能超级强悍各种应用都运行得如丝般顺滑不卡顿真是让我爱不释手另外摄像头的拍照效果也是一级棒日常拍照和夜景拍摄都能得到清晰细腻的照片的是iPhone14的电池续航能力很惊人一天使用下来还有50以上的电量再也不用担心手机没电了总之这台iPhone14简直就是完美的智能手机绝对值得购买,"智能手机,黑马,手机,屏幕,效果,色彩,影视剧,性能,摄像头,效果,夜景,照片,电池,续航,能力,电量,手机,智能手机","细腻,强悍,清晰,细腻,惊人,完美","性能,拍照,屏幕,续航",203
不得不赞质量真的好包装物流也不错真心喜欢入手后不会让你后悔的苏宁易购就是好,"质量,物流,苏宁",不错,服务,37
很不错价格实惠相信苏宁品质,"价格,苏宁,品质",不错,价格,13
包装非常完美盒子保护得很好,盒子,完美,其他,13
电池续航不错,"电池,续航",不错,续航,6
运行速度快,速度,,性能,5
非常喜欢,,,其他,4
小孩快高考了看着价格合适刚好入手一台留着给小孩上大学用很满意物美价廉,"小孩,价格,小孩,大学",合适,价格,34
苏宁正品无疑一点也不卡顿续航比想象中要好很多拍照一直觉得苹果好越看越喜欢支持苏宁易购,"苏宁,正品,续航,想象,苹果,苏宁",,续航,42
感谢苏宁让我购买正宗苹果手机今天终于可以换一个新的手机了苏宁大品牌买东西放心值得推荐给力,"苏宁,苹果,手机,手机,苏宁,品牌,东西,力",,其他,44
不错不错不错不错不错不错不错不错,,"不错,不错,不错,不错,不错,不错,不错,不错",其他,16
手机外观挺好看挺轻薄质感好屏幕细腻占比高操作简单处理挺快拍照效果还可以电池也挺经用的,"手机,外观,质感,屏幕,效果,电池,经用","轻薄,细腻,简单","外观,续航,屏幕",42
午夜配色外观还可以拿着轻薄大小合适界面挺美观屏幕也细腻处理挺快玩游戏流畅拍照清晰电池也够用,"配色,外观,界面,屏幕,玩游戏,电池","轻薄,合适,细腻,流畅,清晰","外观,续航,屏幕",45
很满意从安卓换到苹果的次用苹果体验感非常好喔喜欢除了充电有点慢其他的都很好滴才没有网上说的那么严重发烫还信号差我觉得信号还可以的我能接受的范围内而且发货非常非常快昨天买的今天就到啦开心_,"安卓,苹果,次用,苹果,体验,有点,信号,信号,范围,内,发货",严重,服务,93
星光配色确实好看机器拿着轻薄手感好屏幕细腻触控灵敏运行流畅拍照也清晰买到价也挺合适,"星光,配色,机器,手感,屏幕,灵敏,价","确实,轻薄,细腻,流畅,清晰,合适","外观,屏幕",41
苏宁易购手机永远支持希望苏宁越做越好,"苏宁,手机,苏宁",,其他,18
苏宁易购大品牌以前是去苏宁的实体店买现在从苏宁的app买商品质量是一样的还配送到家很不错的,"苏宁,品牌,苏宁,实体店,苏宁,商品质量",不错,其他,45
发货快速度快包装好服务好,"发货,速度",,"服务,性能",12
苏宁发的货就是好非常的干净外观一点破损也没有正品行货也不用担心质量问题杠杠的下次有需要继续苏宁购买,"苏宁,货,外观,正品,行货,质量,问题,杠杠,苏宁",干净,外观,49
一直用苹果手机这次从xr换到14哈哈好用,"苹果,手机",,其他,20
外形外观苹果的外观很漂亮看着很高档颜色很正很喜欢屏幕音效用的也是三星屏幕中最高档的屏幕触感很好屏幕很细腻显示效果十分清晰运行速度运行速度这一块苹果一直是没的说自家研制的苹果系统配合自己的芯片市面上的游戏和软件基本都能流畅运行,"外形,外观,苹果,外观,很漂亮,颜色,屏幕,音效,屏幕,屏幕,触感,屏幕,效果,速度,速度,苹果,苹果,系统,芯片,市面上,游戏,软件,基本,能流畅","细腻,清晰","外观,屏幕,性能,系统",112
苹果就是好系统流畅功能强大快递包装的好苏宁自营的放心,"苹果,系统,苏宁",流畅,系统,26
紫色看着挺清新外观颜值高手感佳用着流畅拍照可以整体来说挺满意的,"紫色,外观,颜值,高手,整体","清新,流畅",外观,31
手机是全新正品特意使用了个把月再来评价运行很流畅拍照清晰音质好黑色神秘大气十分满意,"手机,正品,个把月,评价,音质,黑色,大气","流畅,清晰,神秘",其他,41
系统流畅运行速度飞快真的很好性价比也很高质量也很好物流也快啊一天就到货了苹果手机苏宁易购购买更放心,"系统,速度,性价比,高质量,物流,苹果,手机,苏宁",流畅,"性能,服务,价格,系统",49
很好用哈哈哈哈哈哈哈哈哈哈,,,其他,13
超乎想象的满意手机的手感和质感没得说总之非常满意这个绝对全五星好评快递又速度颜色好正嘿嘿快递很快客服服务很好满电可以从早上一直用的晚上价格方面作为一款苹果手机这个价是真的香值得下手,"想象,手机,手感,质感,速度,颜色,客服,价格,方面,苹果,手机,价是,香",,"性能,外观,服务,价格",90
颜色真的很好看发货很快苏宁易购购物放心,"颜色,发货,苏宁,购物",,"外观,服务",19
显示效果非常好,效果,,其他,7
非常满意推荐购买,,,其他,8
运行速度反应快,速度,,性能,7
